Drug,Rating_Weighted_Avg,Disease,Symptoms,Review,Sentiment,Rating,UsefulCount
Cefixime,10.0,urinary tract infection,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""My daughter was born with urinary reflux, the result of which is usually 1-2 urinary tract infections a year.  Suprax ALWAYS knocks it out right away. We have tried many of the others.  Some took longer and some didn&#039;t work at all.  Only con is it is hard to get and you may have to order it at the pharmacy.""",Negative,10,7
Doribax,10.0,urinary tract infection,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""It is proved itself it is an excellent drug of choice MDR Gr -ve bacteria, including Pseudomonas and Acinetobacter.""",Positive,10,1
Doripenem,10.0,urinary tract infection,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""It is proved itself it is an excellent drug of choice MDR Gr -ve bacteria, including Pseudomonas and Acinetobacter.""",Positive,10,1
Lactobacillus acidophilus,10.0,urinary tract infection,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""This has been a miracle for me, and it was by accident I found out about it at all. I was getting urinary tract infections every other month for 4 years. Every time I would go to my doctor he would prescribe antibiotics and the UTI would go away for a month and then come back. No one, I even went to a specialist and no one could tell me what to do to prevent them. At one of my doctors visits my regular doctor was out and I saw his PA (physicians assistant) who did the same as my doctor, prescribe an antibiotic but he also told me to get acidophilus so I don&#039;t get a yeast infection from the antibiotic which happened every time I took the antibiotic. I started taking them and after 6 months I only got one UTI and none in 4 years.""",Negative,10,189
Macrodantin,10.0,urinary tract infection,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""Started experiecing pain peeing and went for a quick dip test after blood in urine was strongly apparant. Prescribed Trimethoprim for a week and cleared it up very quickly however it came back. On the sixth day the doctor rang me urgently saying I needed to take these 4 times a day for a week.

No side effects at all. Possible constipation however this could be due to not wanting to eat/doing less exercise. No chest pains or anything and very quickly cleared up any remaining symptoms. Thank you Macrodantin!""",Positive,10,28
Calcitriol,10.0,psoriasis,"[' skin_rash', ' joint_pain', ' skin_peeling', ' silver_like_dusting', ' small_dents_in_nails', ' inflammatory_nails', 0]","""After only 2 applications my skin had a nearly normall appearance and feel.""",Neutral,10,4
Flurandrenolide,10.0,psoriasis,"[' skin_rash', ' joint_pain', ' skin_peeling', ' silver_like_dusting', ' small_dents_in_nails', ' inflammatory_nails', 0]","""This is wonderful!! I have psoriasis on all of my joints.. elbows, knees, and ankles. I have used ointments for years and most recently they have not been helpful, in fact the plaques have spread to my wrist and sides of my feet. I was just prescribed Cordran Tape a week ago, and after only 4 applications, it&#039;s almost completely clear. I am floored by the success of this tape, and although it&#039;s the most expensive medication I&#039;ve used so far ($50 after insurance), I will continue to use it for any future flare ups.""",Positive,10,5
Temovate,10.0,psoriasis,"[' skin_rash', ' joint_pain', ' skin_peeling', ' silver_like_dusting', ' small_dents_in_nails', ' inflammatory_nails', 0]","""Began use of this medication upon receipt in mail. Only a few doses were necessary when effectiveness were noted. No side effects noted throughout the treatment period. Dermatologist will review the site at next appointment.""",Negative,10,2
Topicort,10.0,psoriasis,"[' skin_rash', ' joint_pain', ' skin_peeling', ' silver_like_dusting', ' small_dents_in_nails', ' inflammatory_nails', 0]","""Within 5 days the change in my skin was amazing.  No flaking, no scales.  The discoloration of my skin was minimal compared to what it was.  No adverse effects for me.  I have been on it for 5 weeks and now I do not use it daily.  I moisturize daily when I get out of the shower, and I use the gel about every 4 days.  Cup your elbow in your hand and that is how large my area was.  It still is, but is now soft and lightly pink.  I am going to a tanning booth to see if that helps as well.""",Positive,10,36
Clobetasol,9.535612535612536,psoriasis,"[' skin_rash', ' joint_pain', ' skin_peeling', ' silver_like_dusting', ' small_dents_in_nails', ' inflammatory_nails', 0]","""This cream really works topical 0.05% I have used this since I was 25, I am now 45. I have used it everywhere I see red spots form. Scalp is a little difficult but does work your skin is clear again.""",Positive,10,21
