Disease,Drug,Symptoms,Review,Sentiment,Rating,UsefulCount
urinary tract infection,Sulfamethoxazole / trimethoprim,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I have bad side effects from all antibiotics, which is why I ended up with a long-standing urinary tract infection. I was given Bactrim DS by my doctor. I was really afraid to take this medications, so I cut a pill in half. I also took 1/4 of a Phenergan to help with possible nausea. I was fine all day. No side effects at all until about 4 hours in. Then I developed extreme body aches, especially stiff neck and a low grade fever (which lasted 3 days). I didn&#039;t take another one, checked my urine with a dipstick and it was clear. Unfortunately the urinary tract infection came back the next day because I didn&#039;t take enough. I tried 1/4 of a pill and had the same side effects 4 hours later. No more of those for me. Going back to the doctor for something else.""",Negative,1,17
urinary tract infection,Levofloxacin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""This last Monday I was detected by my doctor that I have a acute Cystitis. My doctor prescribed me lavoprolaxicin Levaquin for 6 days.. My nightmare start in day 3 when I couldn&#039;t even get up from my bed.. I was sore all over my body.. I couldn&#039;t even walk.. Only I took 4 pills and I feel that my life changed to the worst for this medication.. I went to ER and they gave me fluids to at least clean a little bit my system.. I got a CT scan of my kidneys, and bladder, liver and all results were normal..If   doctors know those side effects why are they  still prescribing this medicine.  it&#039;s poison!! I . I&#039;m still panicked !!I have faith that everything will be normal again.. Today is my day 1without the medication.. I&#039;m walking better.""",Negative,3,24
urinary tract infection,Sulfamethoxazole / trimethoprim,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I am currently suffering from recurring cystitis and UTI&#039;s. This is my first experience of taking Trimethoprim and after taking the 3rd tablet I became quite unwell with flu like symptoms, fever, headache, chills, whole body aching, loss of appetite. Because of how terrible I was feeling I didn&#039;t want to continue the course for fear it was the pills causing the illness. Is that possible? Or could I just be that I am run down and immune system was low?""",Negative,1,7
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I have been taking 4 a day for last 6 days, 2 tablets to go. My uti seems better but I have never so tired, aching all over and very thirsty. Also bit depressed and tearful. None of these seem bad enough to tell doctor about. Just hoping that when I finish the course all these symptoms will disappear.""",Negative,5,10
urinary tract infection,Macrobid,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I wish I would have read these reviews before I started taking this medication! I feel soooo sick! I started to wonder if I have something really serious like cancer. I am so weak. One minute I am drenched in sweat and then I have chills so bad no amount of blankets will warm me. I can&#039;t get out of bed and I must go to work tomorrow. I am a teacher and I have parent/teacher conferences! I constantly have a fever of 101 or higher! Why would they prescribe this medication to any one. Too many people have the same terrible side effects!""",Negative,1,28
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I was prescribed Genfura (Nitrofurantoin) after a previous antibiotic was ineffective in curing a UTI. UTI symptoms were completely gone within 3 days, but I had major side effects within hours of taking the first pill.

Side effects: 

Worst flu like symptoms of my life and I nearly went to A&amp;E I was so sick. I had a high fever for 2 days, chills, shallow laboured breathing, no appetite, nausea, constipation, extreme weakness, severe headache and I couldn&#039;t leave my bed for 2 days. 

Strangely the side effects went away as soon as they came on, and 4 days into the medication I feel fine.""",Negative,7,9
urinary tract infection,Bactrim,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""Started taking Cipro for a bladder infection but had some bad side effects in the tendon in my right hand. Went back to the Dr. And he gave me Bactrim(Septra).   I took it for 3 days in total before I had to stop. The symptoms literally made me feel like I was dying. I had a really foggy head, headaches, dizziness, I almost passed out one day. I got zero sleep the whole time I was on it. My joints hurt in the night, my skin got really itchy and developed a rash, I also developed extreme anxiety and I felt like I was having a heart attack with the palpitations. I was close to panic attack  that&#039;s when I said enough is enough. I&#039;ve never had a reaction like that and I have trouble remembering those days.   It was a blur of pain and confusion.""",Negative,1,26
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""Prescribed to me for a stubborn UTI, after Bactrim didn&#039;t seem to work. 
Took once a day for 10 days. Had no negative side effects, but didn&#039;t clear up my UTI either.""",Positive,1,8
urinary tract infection,Nitrofurantoin,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I love this medicine. It works in the first 24 hours!""",Positive,10,11
urinary tract infection,SMZ-TMP DS,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', 0, 0, 0]","""I&#039;ve just finished my treatment for a urinary tract infection.  I no longer have any symptoms from the infection.  First 8 days of a 15 day treatment was fine with no side effects.  Beginning the 9th day, I began experiencing a mild rash and itching which seem to begin on my chest and neck and migrated to my back.  A bit of a nuisance but tolerable.  Around the 11th day, I began to experience mild joint and muscle ache and a tender scalp around the base of the skull.  Acetaminophen and ibuprofen have helped to overcome this but by the 14th and 15th day, I felt like a had the flu with no nausea but a loss of appetite.  I took the last pill this morning and by 1PM, had to lay down with chills, aches and pains, headache and a slight fever.""",Negative,6,14
